Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2018"",""2018"",""ha"",""6469"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2019"",""2019"",""ha"",""6455"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2020"",""2020"",""ha"",""6428"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2021"",""2021"",""ha"",""6403"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2010"",""2010"",""100 g/ha"",""204966"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2011"",""2011"",""100 g/ha"",""208365"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2012"",""2012"",""100 g/ha"",""211763"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2013"",""2013"",""100 g/ha"",""215162"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2014"",""2014"",""100 g/ha"",""219494"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2015"",""2015"",""100 g/ha"",""230542"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2016"",""2016"",""100 g/ha"",""225346"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2017"",""2017"",""100 g/ha"",""223796"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2018"",""2018"",""100 g/ha"",""238517"",""E"",""Valor estimado"""
